what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1343683382777
processors,sysinfo,,,"2",1343683382777
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1343683382777
java.runtime.version,sysinfo,,,"1.6.0_33-b03-424-11M3720",1343683382777
java.specification.name,sysinfo,,,"Java Platform API Specification",1343683382777
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1343683382777
java.specification.version,sysinfo,,,"1.6",1343683382777
java.vendor,sysinfo,,,"Apple Inc.",1343683382777
java.version,sysinfo,,,"1.6.0_33",1343683382777
java.vm.info,sysinfo,,,"mixed mode",1343683382777
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1343683382777
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1343683382777
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1343683382777
java.vm.specification.version,sysinfo,,,"1.0",1343683382777
java.vm.vendor,sysinfo,,,"Apple Inc.",1343683382777
java.vm.version,sysinfo,,,"20.8-b03-424",1343683382777
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1343683382884
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1343683382981
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1343683382995
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1343683383054
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1343683383797
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343683435647
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343683435658
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343683452337
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343683456341
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343683460166
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343683460232
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343683463330
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343683466731
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343683468922
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343683476542
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343683484010
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1343683488820
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1343683491292
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1343683501911
